game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
9111966CRD,September 11,PHI,18.0,254.0,121.0,133.0,0.0,CRD,20.0,278.0,158.0,120.0,1.0
9181966PHI,September 18,PHI,20.0,340.0,135.0,205.0,2.0,ATL,16.0,298.0,202.0,96.0,3.0
9251966PHI,September 25,PHI,18.0,271.0,161.0,110.0,0.0,NYG,19.0,386.0,236.0,150.0,1.0
1021966PHI,October 2,PHI,17.0,230.0,168.0,62.0,5.0,CRD,8.0,147.0,63.0,84.0,1.0
1091966DAL,October 9,PHI,11.0,217.0,179.0,38.0,1.0,DAL,32.0,652.0,440.0,212.0,0.0
10161966PIT,October 16,PHI,22.0,281.0,93.0,188.0,3.0,PIT,14.0,178.0,91.0,87.0,3.0
10231966NYG,October 23,PHI,18.0,316.0,114.0,202.0,3.0,NYG,13.0,228.0,152.0,76.0,5.0
10301966PHI,October 30,PHI,14.0,257.0,152.0,105.0,2.0,WAS,17.0,260.0,159.0,101.0,3.0
1161966PHI,November 6,PHI,5.0,80.0,22.0,58.0,3.0,DAL,16.0,240.0,128.0,112.0,2.0
11131966CLE,November 13,PHI,17.0,290.0,175.0,115.0,4.0,CLE,17.0,345.0,176.0,169.0,0.0
11201966SFO,November 20,PHI,15.0,289.0,169.0,120.0,5.0,SFO,24.0,404.0,238.0,166.0,5.0
1241966PHI,December 4,PHI,19.0,304.0,124.0,180.0,2.0,PIT,15.0,250.0,155.0,95.0,2.0
12111966PHI,December 11,PHI,17.0,320.0,117.0,203.0,5.0,CLE,21.0,349.0,231.0,118.0,3.0
12181966WAS,December 18,PHI,20.0,310.0,170.0,140.0,4.0,WAS,17.0,355.0,248.0,107.0,6.0
9171967PHI,September 17,PHI,18.0,426.0,276.0,150.0,2.0,WAS,21.0,388.0,304.0,84.0,1.0
9241967PHI,September 24,PHI,16.0,299.0,241.0,58.0,4.0,CLT,21.0,345.0,273.0,72.0,0.0
1011967PHI,October 1,PHI,17.0,319.0,271.0,48.0,1.0,PIT,19.0,318.0,165.0,153.0,3.0
1081967ATL,October 8,PHI,18.0,380.0,179.0,201.0,0.0,ATL,17.0,308.0,223.0,85.0,6.0
10151967PHI,October 15,PHI,15.0,244.0,201.0,43.0,0.0,SFO,24.0,386.0,216.0,170.0,0.0
10221967CRD,October 22,PHI,17.0,319.0,248.0,71.0,2.0,CRD,22.0,416.0,267.0,149.0,0.0
