game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
911996RAV,September 1,RAV,21.0,314.0,219.0,95.0,1.0,RAI,13.0,238.0,178.0,60.0,2.0
981996PIT,September 8,RAV,17.0,251.0,154.0,97.0,3.0,PIT,26.0,397.0,191.0,206.0,2.0
9151996OTI,September 15,RAV,19.0,281.0,208.0,73.0,3.0,OTI,19.0,312.0,172.0,140.0,0.0
9291996RAV,September 29,RAV,16.0,343.0,178.0,165.0,0.0,NOR,18.0,298.0,202.0,96.0,0.0
1061996RAV,October 6,RAV,28.0,463.0,330.0,133.0,1.0,NWE,26.0,364.0,310.0,54.0,0.0
10131996CLT,October 13,RAV,20.0,325.0,213.0,112.0,1.0,CLT,15.0,255.0,132.0,123.0,0.0
10201996DEN,October 20,RAV,23.0,392.0,317.0,75.0,1.0,DEN,26.0,548.0,326.0,222.0,1.0
10271996RAV,October 27,RAV,25.0,478.0,404.0,74.0,4.0,RAM,26.0,486.0,324.0,162.0,4.0
1131996RAV,November 3,RAV,23.0,371.0,279.0,92.0,4.0,CIN,33.0,433.0,265.0,168.0,2.0
11101996JAX,November 10,RAV,24.0,387.0,235.0,152.0,3.0,JAX,22.0,418.0,332.0,86.0,2.0
11171996SFO,November 17,RAV,16.0,268.0,159.0,109.0,3.0,SFO,22.0,372.0,262.0,110.0,4.0
11241996RAV,November 24,RAV,29.0,460.0,356.0,104.0,2.0,JAX,23.0,374.0,292.0,82.0,2.0
1211996RAV,December 1,RAV,19.0,372.0,250.0,122.0,1.0,PIT,18.0,333.0,214.0,119.0,1.0
1281996CIN,December 8,RAV,21.0,322.0,199.0,123.0,1.0,CIN,25.0,360.0,267.0,93.0,0.0
12151996CAR,December 15,RAV,17.0,319.0,220.0,99.0,3.0,CAR,21.0,350.0,268.0,82.0,2.0
12221996RAV,December 22,RAV,20.0,377.0,257.0,120.0,2.0,OTI,18.0,351.0,234.0,117.0,0.0
8311997RAV,August 31,RAV,22.0,373.0,301.0,72.0,3.0,JAX,19.0,411.0,303.0,108.0,1.0
971997RAV,September 7,RAV,24.0,412.0,266.0,146.0,3.0,CIN,18.0,339.0,283.0,56.0,2.0
9141997NYG,September 14,RAV,19.0,273.0,210.0,63.0,1.0,NYG,29.0,390.0,269.0,121.0,0.0
9211997OTI,September 21,RAV,21.0,398.0,309.0,89.0,0.0,OTI,18.0,285.0,188.0,97.0,5.0
9281997SDG,September 28,RAV,18.0,328.0,217.0,111.0,3.0,SDG,15.0,440.0,352.0,88.0,3.0
1051997RAV,October 5,RAV,20.0,332.0,280.0,52.0,5.0,PIT,22.0,431.0,217.0,214.0,3.0
10191997RAV,October 19,RAV,20.0,385.0,331.0,54.0,2.0,MIA,24.0,337.0,189.0,148.0,1.0
10261997WAS,October 26,RAV,20.0,332.0,133.0,199.0,1.0,WAS,16.0,249.0,182.0,67.0,1.0
1121997NYJ,November 2,RAV,23.0,447.0,288.0,159.0,2.0,NYJ,15.0,225.0,160.0,65.0,0.0
1191997PIT,November 9,RAV,11.0,172.0,112.0,60.0,7.0,PIT,19.0,341.0,198.0,143.0,0.0
11161997RAV,November 16,RAV,19.0,329.0,125.0,204.0,2.0,PHI,18.0,273.0,210.0,63.0,1.0
11231997RAV,November 23,RAV,17.0,314.0,185.0,129.0,0.0,CRD,15.0,273.0,202.0,71.0,2.0
11301997JAX,November 30,RAV,17.0,221.0,163.0,58.0,0.0,JAX,23.0,404.0,313.0,91.0,1.0
1271997RAV,December 7,RAV,15.0,374.0,286.0,88.0,3.0,SEA,14.0,273.0,170.0,103.0,4.0
12141997RAV,December 14,RAV,11.0,246.0,192.0,54.0,1.0,OTI,23.0,390.0,200.0,190.0,4.0
12211997CIN,December 21,RAV,15.0,355.0,304.0,51.0,0.0,CIN,18.0,302.0,237.0,65.0,0.0
961998RAV,September 6,RAV,17.0,376.0,264.0,112.0,0.0,PIT,14.0,271.0,157.0,114.0,3.0
9131998NYJ,September 13,RAV,16.0,331.0,209.0,122.0,1.0,NYJ,18.0,276.0,224.0,52.0,3.0
9201998JAX,September 20,RAV,11.0,313.0,232.0,81.0,1.0,JAX,21.0,519.0,365.0,154.0,1.0
9271998RAV,September 27,RAV,21.0,408.0,227.0,181.0,1.0,CIN,19.0,275.0,143.0,132.0,0.0
10111998RAV,October 11,RAV,13.0,263.0,227.0,36.0,1.0,OTI,16.0,344.0,178.0,166.0,1.0
10181998PIT,October 18,RAV,16.0,230.0,134.0,96.0,5.0,PIT,13.0,241.0,162.0,79.0,2.0
10251998GNB,October 25,RAV,11.0,233.0,177.0,56.0,2.0,GNB,20.0,328.0,252.0,76.0,2.0
1111998RAV,November 1,RAV,22.0,357.0,231.0,126.0,5.0,JAX,20.0,364.0,253.0,111.0,1.0
1181998RAV,November 8,RAV,15.0,213.0,87.0,126.0,1.0,RAI,20.0,356.0,245.0,111.0,3.0
11151998SDG,November 15,RAV,8.0,161.0,121.0,40.0,2.0,SDG,19.0,203.0,146.0,57.0,1.0
11221998CIN,November 22,RAV,18.0,338.0,91.0,247.0,2.0,CIN,16.0,242.0,184.0,58.0,2.0
11291998RAV,November 29,RAV,18.0,314.0,198.0,116.0,0.0,CLT,26.0,540.0,344.0,196.0,1.0
1261998OTI,December 6,RAV,10.0,221.0,163.0,58.0,1.0,OTI,19.0,291.0,213.0,78.0,1.0
12131998RAV,December 13,RAV,16.0,267.0,212.0,55.0,6.0,MIN,26.0,420.0,332.0,88.0,1.0
12201998CHI,December 20,RAV,12.0,178.0,154.0,24.0,1.0,CHI,20.0,391.0,202.0,189.0,0.0
12271998RAV,December 27,RAV,19.0,295.0,142.0,153.0,1.0,DET,11.0,236.0,192.0,44.0,1.0
9121999RAM,September 12,RAV,13.0,223.0,163.0,60.0,2.0,RAM,23.0,343.0,284.0,59.0,3.0
9191999RAV,September 19,RAV,16.0,292.0,167.0,125.0,3.0,PIT,19.0,270.0,121.0,149.0,0.0
9261999RAV,September 26,RAV,16.0,334.0,150.0,184.0,3.0,CLE,11.0,189.0,89.0,100.0,3.0
1031999ATL,October 3,RAV,17.0,307.0,163.0,144.0,0.0,ATL,20.0,298.0,246.0,52.0,3.0
10101999OTI,October 10,RAV,16.0,246.0,178.0,68.0,1.0,OTI,16.0,272.0,216.0,56.0,0.0
10211999RAV,October 21,RAV,18.0,277.0,172.0,105.0,3.0,KAN,12.0,218.0,106.0,112.0,0.0
10311999RAV,October 31,RAV,12.0,200.0,118.0,82.0,2.0,BUF,19.0,249.0,138.0,111.0,3.0
1171999CLE,November 7,RAV,20.0,315.0,112.0,203.0,1.0,CLE,10.0,170.0,114.0,56.0,2.0
11141999JAX,November 14,RAV,13.0,242.0,154.0,88.0,1.0,JAX,9.0,132.0,85.0,47.0,0.0
11211999CIN,November 21,RAV,19.0,281.0,225.0,56.0,2.0,CIN,20.0,348.0,246.0,102.0,3.0
11281999RAV,November 28,RAV,14.0,280.0,199.0,81.0,3.0,JAX,24.0,388.0,328.0,60.0,3.0
1251999RAV,December 5,RAV,17.0,448.0,332.0,116.0,1.0,OTI,21.0,353.0,288.0,65.0,2.0
12121999PIT,December 12,RAV,12.0,374.0,242.0,132.0,0.0,PIT,21.0,352.0,243.0,109.0,1.0
12191999RAV,December 19,RAV,15.0,335.0,274.0,61.0,4.0,NOR,8.0,248.0,237.0,11.0,4.0
12261999RAV,December 26,RAV,18.0,311.0,181.0,130.0,1.0,CIN,15.0,241.0,148.0,93.0,3.0
122000NWE,January 2,RAV,23.0,313.0,194.0,119.0,4.0,NWE,12.0,151.0,102.0,49.0,1.0
932000PIT,September 3,RAV,18.0,336.0,196.0,140.0,0.0,PIT,12.0,223.0,193.0,30.0,1.0
9102000RAV,September 10,RAV,17.0,331.0,242.0,89.0,2.0,JAX,22.0,421.0,375.0,46.0,4.0
9172000MIA,September 17,RAV,18.0,262.0,144.0,118.0,1.0,MIA,15.0,258.0,152.0,106.0,1.0
9242000RAV,September 24,RAV,27.0,391.0,215.0,176.0,1.0,CIN,7.0,94.0,90.0,4.0,4.0
1012000CLE,October 1,RAV,22.0,348.0,160.0,188.0,1.0,CLE,11.0,230.0,207.0,23.0,4.0
1082000JAX,October 8,RAV,10.0,194.0,138.0,56.0,1.0,JAX,22.0,348.0,253.0,95.0,6.0
10152000WAS,October 15,RAV,15.0,199.0,108.0,91.0,1.0,WAS,15.0,246.0,145.0,101.0,2.0
10222000RAV,October 22,RAV,24.0,368.0,255.0,113.0,4.0,OTI,7.0,191.0,101.0,90.0,2.0
10292000RAV,October 29,RAV,14.0,274.0,139.0,135.0,3.0,PIT,14.0,231.0,111.0,120.0,1.0
1152000CIN,November 5,RAV,19.0,378.0,236.0,142.0,0.0,CIN,11.0,174.0,130.0,44.0,1.0
11122000OTI,November 12,RAV,19.0,361.0,258.0,103.0,1.0,OTI,17.0,286.0,224.0,62.0,2.0
11192000RAV,November 19,RAV,22.0,479.0,229.0,250.0,2.0,DAL,9.0,192.0,137.0,55.0,3.0
11262000RAV,November 26,RAV,25.0,461.0,214.0,247.0,2.0,CLE,5.0,112.0,84.0,28.0,3.0
12102000RAV,December 10,RAV,19.0,276.0,166.0,110.0,3.0,SDG,9.0,128.0,64.0,64.0,5.0
12172000CRD,December 17,RAV,14.0,214.0,37.0,177.0,2.0,CRD,18.0,309.0,258.0,51.0,4.0
12242000RAV,December 24,RAV,5.0,142.0,78.0,64.0,2.0,NYJ,22.0,524.0,473.0,51.0,6.0
12312000RAV,December 31,RAV,13.0,240.0,118.0,122.0,0.0,DEN,9.0,177.0,135.0,42.0,1.0
172001OTI,January 7,RAV,6.0,134.0,85.0,49.0,0.0,OTI,23.0,317.0,191.0,126.0,1.0
1142001RAI,January 14,RAV,12.0,282.0,172.0,110.0,2.0,RAI,12.0,191.0,167.0,24.0,5.0
