,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
351,SDG,961968SDG,September 6,CIN,27.0,554.0,325.0,229.0,2.0,13.0,226.0,104.0,122.0,2.0
359,CIN,9151968CIN,September 15,DEN,11.0,289.0,185.0,104.0,0.0,15.0,199.0,121.0,78.0,1.0
370,CIN,9221968CIN,September 22,BUF,9.0,201.0,52.0,149.0,2.0,17.0,215.0,123.0,92.0,2.0
381,CIN,9291968CIN,September 29,SDG,14.0,195.0,129.0,66.0,2.0,18.0,302.0,201.0,101.0,1.0
397,DEN,1061968DEN,October 6,CIN,11.0,211.0,112.0,99.0,0.0,15.0,247.0,136.0,111.0,1.0
412,KAN,10131968KAN,October 13,CIN,15.0,265.0,129.0,136.0,2.0,7.0,116.0,17.0,99.0,1.0
420,CIN,10201968CIN,October 20,MIA,14.0,327.0,184.0,143.0,3.0,21.0,296.0,157.0,139.0,0.0
439,RAI,10271968RAI,October 27,CIN,26.0,439.0,174.0,265.0,3.0,8.0,228.0,59.0,169.0,2.0
446,CIN,1131968CIN,November 3,OTI,21.0,374.0,195.0,179.0,0.0,21.0,361.0,202.0,159.0,0.0
461,CIN,11101968CIN,November 10,KAN,15.0,283.0,126.0,157.0,2.0,16.0,304.0,49.0,255.0,1.0
477,MIA,11171968MIA,November 17,CIN,16.0,326.0,204.0,122.0,2.0,17.0,422.0,243.0,179.0,1.0
486,CIN,11241968CIN,November 24,RAI,7.0,148.0,32.0,116.0,3.0,33.0,604.0,396.0,208.0,1.0
500,NWE,1211968NWE,December 1,CIN,20.0,271.0,142.0,129.0,2.0,14.0,212.0,106.0,106.0,1.0
515,NYJ,1281968NYJ,December 8,CIN,19.0,371.0,286.0,85.0,2.0,6.0,158.0,51.0,107.0,1.0
540,CIN,9141969CIN,September 14,MIA,11.0,227.0,126.0,101.0,1.0,19.0,360.0,281.0,79.0,2.0
549,CIN,9211969CIN,September 21,SDG,19.0,472.0,292.0,180.0,2.0,17.0,395.0,215.0,180.0,1.0
559,CIN,9281969CIN,September 28,KAN,7.0,301.0,209.0,92.0,4.0,17.0,265.0,139.0,126.0,3.0
571,SDG,1041969SDG,October 4,CIN,23.0,413.0,214.0,199.0,3.0,8.0,221.0,70.0,151.0,1.0
587,CIN,10121969CIN,October 12,NYJ,15.0,258.0,169.0,89.0,3.0,21.0,376.0,154.0,222.0,2.0
598,CIN,10191969CIN,October 19,DEN,20.0,256.0,159.0,97.0,3.0,17.0,421.0,149.0,272.0,3.0
614,KAN,10261969KAN,October 26,CIN,26.0,508.0,195.0,313.0,3.0,7.0,196.0,131.0,65.0,2.0
626,CIN,1121969CIN,November 2,RAI,15.0,320.0,186.0,134.0,2.0,24.0,394.0,275.0,119.0,6.0
640,OTI,1191969OTI,November 9,CIN,26.0,456.0,237.0,219.0,2.0,12.0,391.0,298.0,93.0,0.0
650,CIN,11161969CIN,November 16,NWE,14.0,305.0,191.0,114.0,5.0,13.0,298.0,88.0,210.0,0.0
670,NYJ,11231969NYJ,November 23,CIN,20.0,328.0,213.0,115.0,1.0,9.0,158.0,108.0,50.0,3.0
679,BUF,11301969BUF,November 30,CIN,8.0,184.0,84.0,100.0,3.0,11.0,253.0,26.0,227.0,7.0
696,RAI,1271969RAI,December 7,CIN,26.0,544.0,235.0,309.0,3.0,10.0,210.0,108.0,102.0,2.0
703,DEN,12141969DEN,December 14,CIN,21.0,395.0,207.0,188.0,3.0,14.0,300.0,272.0,28.0,3.0
732,CIN,9201970CIN,September 20,RAI,14.0,364.0,117.0,247.0,1.0,13.0,291.0,243.0,48.0,2.0
746,DET,9271970DET,September 27,CIN,21.0,285.0,94.0,191.0,0.0,6.0,140.0,64.0,76.0,4.0
759,CIN,1041970CIN,October 4,OTI,12.0,248.0,177.0,71.0,2.0,14.0,239.0,166.0,73.0,4.0
769,CLE,10111970CLE,October 11,CIN,23.0,346.0,216.0,130.0,3.0,15.0,236.0,182.0,54.0,1.0
783,CIN,10181970CIN,October 18,KAN,15.0,256.0,174.0,82.0,1.0,14.0,274.0,158.0,116.0,0.0
804,WAS,10251970WAS,October 25,CIN,20.0,324.0,112.0,212.0,1.0,14.0,221.0,101.0,120.0,4.0
818,PIT,1121970PIT,November 2,CIN,13.0,281.0,195.0,86.0,1.0,18.0,282.0,143.0,139.0,3.0
819,BUF,1181970BUF,November 8,CIN,17.0,377.0,274.0,103.0,6.0,17.0,320.0,164.0,156.0,0.0
834,CIN,11151970CIN,November 15,CLE,14.0,333.0,123.0,210.0,3.0,15.0,296.0,143.0,153.0,1.0
