,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
12,CRD,9111966CRD,September 11,PHI,20.0,278.0,158.0,120.0,1.0,18.0,254.0,121.0,133.0,0.0
24,CRD,9181966CRD,September 18,WAS,21.0,382.0,237.0,145.0,2.0,14.0,217.0,190.0,27.0,3.0
28,CLE,9251966CLE,September 25,CRD,25.0,373.0,230.0,143.0,1.0,13.0,313.0,206.0,107.0,5.0
44,PHI,1021966PHI,October 2,CRD,17.0,230.0,168.0,62.0,5.0,8.0,147.0,63.0,84.0,1.0
56,CRD,1091966CRD,October 9,NYG,15.0,268.0,177.0,91.0,2.0,20.0,271.0,145.0,126.0,2.0
68,CRD,10161966CRD,October 16,DAL,13.0,175.0,130.0,45.0,0.0,17.0,326.0,191.0,135.0,4.0
79,WAS,10231966WAS,October 23,CRD,15.0,291.0,235.0,56.0,1.0,17.0,251.0,87.0,164.0,5.0
90,CRD,10311966CRD,October 31,CHI,11.0,166.0,47.0,119.0,3.0,16.0,282.0,173.0,109.0,4.0
97,NYG,1161966NYG,November 6,CRD,11.0,210.0,168.0,42.0,2.0,16.0,264.0,116.0,148.0,2.0
110,PIT,11131966PIT,November 13,CRD,6.0,150.0,102.0,48.0,3.0,14.0,251.0,195.0,56.0,4.0
133,CRD,11271966CRD,November 27,PIT,15.0,228.0,29.0,199.0,1.0,8.0,78.0,46.0,32.0,2.0
139,DAL,1241966DAL,December 4,CRD,11.0,190.0,82.0,108.0,1.0,21.0,295.0,201.0,94.0,5.0
147,ATL,12111966ATL,December 11,CRD,11.0,192.0,105.0,87.0,2.0,16.0,296.0,195.0,101.0,3.0
158,CRD,12171966CRD,December 17,CLE,12.0,227.0,99.0,128.0,3.0,20.0,428.0,344.0,84.0,1.0
186,CRD,9171967CRD,September 17,NYG,20.0,358.0,153.0,205.0,6.0,15.0,336.0,232.0,104.0,0.0
196,PIT,9241967PIT,September 24,CRD,17.0,237.0,143.0,94.0,6.0,12.0,283.0,137.0,146.0,1.0
209,CRD,1011967CRD,October 1,DET,21.0,403.0,313.0,90.0,1.0,20.0,310.0,194.0,116.0,3.0
219,MIN,1081967MIN,October 8,CRD,16.0,337.0,236.0,101.0,3.0,18.0,412.0,247.0,165.0,3.0
228,CLE,10151967CLE,October 15,CRD,8.0,223.0,114.0,109.0,1.0,18.0,349.0,217.0,132.0,5.0
246,CRD,10221967CRD,October 22,PHI,22.0,416.0,267.0,149.0,0.0,17.0,319.0,248.0,71.0,2.0
258,CRD,10301967CRD,October 30,GNB,19.0,405.0,289.0,116.0,2.0,16.0,246.0,117.0,129.0,2.0
270,WAS,1151967WAS,November 5,CRD,9.0,219.0,117.0,102.0,3.0,22.0,414.0,236.0,178.0,2.0
281,CRD,11121967CRD,November 12,PIT,19.0,258.0,145.0,113.0,3.0,21.0,274.0,192.0,82.0,1.0
287,CHI,11191967CHI,November 19,CRD,13.0,461.0,320.0,141.0,3.0,15.0,230.0,154.0,76.0,9.0
295,DAL,11231967DAL,November 23,CRD,18.0,436.0,300.0,136.0,1.0,15.0,317.0,222.0,95.0,4.0
317,CRD,1231967CRD,December 3,NOR,12.0,310.0,125.0,185.0,5.0,18.0,238.0,146.0,92.0,3.0
330,CRD,12101967CRD,December 10,CLE,16.0,295.0,174.0,121.0,2.0,8.0,131.0,49.0,82.0,2.0
339,NYG,12171967NYG,December 17,CRD,20.0,418.0,275.0,143.0,2.0,19.0,330.0,262.0,68.0,3.0
365,CRD,9161968CRD,September 16,RAM,18.0,244.0,169.0,75.0,3.0,15.0,238.0,84.0,154.0,1.0
378,SFO,9221968SFO,September 22,CRD,22.0,395.0,263.0,132.0,3.0,13.0,228.0,123.0,105.0,4.0
387,NOR,9291968NOR,September 29,CRD,18.0,323.0,227.0,96.0,1.0,14.0,219.0,97.0,122.0,1.0
403,CRD,1061968CRD,October 6,DAL,14.0,251.0,173.0,78.0,2.0,22.0,297.0,103.0,194.0,1.0
409,CLE,10131968CLE,October 13,CRD,15.0,333.0,311.0,22.0,2.0,20.0,282.0,135.0,147.0,2.0
430,CRD,10201968CRD,October 20,WAS,24.0,321.0,148.0,173.0,1.0,21.0,313.0,257.0,56.0,2.0
441,CRD,10271968CRD,October 27,NOR,18.0,392.0,226.0,166.0,2.0,16.0,301.0,185.0,116.0,1.0
454,PHI,1131968PHI,November 3,CRD,17.0,342.0,230.0,112.0,1.0,21.0,362.0,176.0,186.0,1.0
