,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
4,GNB,9101966GNB,September 10,CLT,17.0,292.0,137.0,155.0,1.0,11.0,213.0,101.0,112.0,3.0
16,CLE,9181966CLE,September 18,GNB,16.0,266.0,156.0,110.0,1.0,22.0,356.0,238.0,118.0,2.0
32,GNB,9251966GNB,September 25,RAM,14.0,327.0,233.0,94.0,5.0,12.0,173.0,67.0,106.0,2.0
40,GNB,1021966GNB,October 2,DET,10.0,251.0,185.0,66.0,0.0,17.0,349.0,175.0,174.0,5.0
55,SFO,1091966SFO,October 9,GNB,17.0,248.0,94.0,154.0,1.0,17.0,368.0,262.0,106.0,2.0
61,CHI,10161966CHI,October 16,GNB,6.0,94.0,52.0,42.0,4.0,12.0,180.0,59.0,121.0,2.0
74,GNB,10231966GNB,October 23,ATL,19.0,357.0,231.0,126.0,0.0,15.0,216.0,76.0,140.0,4.0
83,DET,10301966DET,October 30,GNB,19.0,317.0,233.0,84.0,5.0,19.0,344.0,170.0,174.0,2.0
94,GNB,1161966GNB,November 6,MIN,18.0,292.0,134.0,158.0,1.0,20.0,290.0,164.0,126.0,0.0
116,GNB,11201966GNB,November 20,CHI,15.0,296.0,227.0,69.0,2.0,9.0,160.0,85.0,75.0,4.0
131,MIN,11271966MIN,November 27,GNB,18.0,322.0,194.0,128.0,2.0,20.0,304.0,140.0,164.0,1.0
141,GNB,1241966GNB,December 4,SFO,20.0,311.0,204.0,107.0,1.0,17.0,321.0,181.0,140.0,4.0
146,CLT,12101966CLT,December 10,GNB,15.0,283.0,130.0,153.0,5.0,14.0,242.0,145.0,97.0,1.0
162,RAM,12181966RAM,December 18,GNB,19.0,351.0,251.0,100.0,2.0,14.0,355.0,237.0,118.0,4.0
169,DAL,111967DAL,January 1,GNB,23.0,418.0,231.0,187.0,2.0,19.0,367.0,265.0,102.0,1.0
170,GNB,1151967GNB,January 15,KAN,21.0,358.0,228.0,130.0,1.0,17.0,239.0,167.0,72.0,1.0
179,GNB,9171967GNB,September 17,DET,13.0,306.0,263.0,43.0,5.0,10.0,233.0,41.0,192.0,1.0
192,GNB,9241967GNB,September 24,CHI,24.0,365.0,132.0,233.0,8.0,6.0,159.0,19.0,140.0,1.0
202,GNB,1011967GNB,October 1,ATL,23.0,382.0,205.0,177.0,2.0,8.0,58.0,19.0,39.0,2.0
216,DET,1081967DET,October 8,GNB,7.0,122.0,59.0,63.0,5.0,16.0,249.0,131.0,118.0,4.0
230,GNB,10151967GNB,October 15,MIN,10.0,268.0,226.0,42.0,3.0,10.0,183.0,25.0,158.0,2.0
243,NYG,10221967NYG,October 22,GNB,20.0,324.0,181.0,143.0,4.0,28.0,397.0,148.0,249.0,0.0
258,CRD,10301967CRD,October 30,GNB,19.0,405.0,289.0,116.0,2.0,16.0,246.0,117.0,129.0,2.0
259,CLT,1151967CLT,November 5,GNB,17.0,237.0,103.0,134.0,2.0,15.0,265.0,139.0,126.0,1.0
275,GNB,11121967GNB,November 12,CLE,28.0,456.0,221.0,235.0,1.0,11.0,228.0,66.0,162.0,7.0
290,GNB,11191967GNB,November 19,SFO,13.0,297.0,129.0,168.0,1.0,16.0,308.0,168.0,140.0,2.0
299,CHI,11261967CHI,November 26,GNB,14.0,249.0,56.0,193.0,3.0,15.0,245.0,174.0,71.0,0.0
313,MIN,1231967MIN,December 3,GNB,15.0,276.0,57.0,219.0,3.0,15.0,276.0,143.0,133.0,3.0
320,RAM,1291967RAM,December 9,GNB,20.0,324.0,222.0,102.0,3.0,12.0,218.0,120.0,98.0,2.0
336,GNB,12171967GNB,December 17,PIT,15.0,309.0,216.0,93.0,5.0,10.0,194.0,72.0,122.0,3.0
343,GNB,12231967GNB,December 23,RAM,20.0,374.0,211.0,163.0,4.0,12.0,217.0,142.0,75.0,1.0
348,GNB,12311967GNB,December 31,DAL,18.0,195.0,115.0,80.0,2.0,11.0,192.0,100.0,92.0,2.0
350,GNB,1141968GNB,January 14,RAI,19.0,322.0,162.0,160.0,0.0,16.0,293.0,186.0,107.0,3.0
361,GNB,9151968GNB,September 15,PHI,18.0,378.0,193.0,185.0,1.0,15.0,278.0,187.0,91.0,1.0
373,GNB,9221968GNB,September 22,MIN,18.0,242.0,137.0,105.0,2.0,20.0,242.0,118.0,124.0,1.0
384,GNB,9291968GNB,September 29,DET,15.0,324.0,219.0,105.0,3.0,20.0,343.0,190.0,153.0,1.0
395,ATL,1061968ATL,October 6,GNB,7.0,154.0,76.0,78.0,5.0,26.0,470.0,312.0,158.0,1.0
411,GNB,10131968GNB,October 13,RAM,15.0,197.0,113.0,84.0,5.0,11.0,190.0,97.0,93.0,1.0
421,DET,10201968DET,October 20,GNB,18.0,282.0,70.0,212.0,4.0,16.0,213.0,79.0,134.0,3.0
443,DAL,10281968DAL,October 28,GNB,20.0,365.0,206.0,159.0,4.0,20.0,322.0,217.0,105.0,1.0
447,GNB,1131968GNB,November 3,CHI,12.0,242.0,135.0,107.0,1.0,18.0,328.0,37.0,291.0,3.0
466,MIN,11101968MIN,November 10,GNB,15.0,226.0,66.0,160.0,1.0,21.0,263.0,91.0,172.0,4.0
474,GNB,11171968GNB,November 17,NOR,18.0,289.0,157.0,132.0,2.0,11.0,136.0,62.0,74.0,4.0
494,WAS,11241968WAS,November 24,GNB,13.0,167.0,134.0,33.0,3.0,23.0,388.0,230.0,158.0,3.0
507,SFO,1211968SFO,December 1,GNB,17.0,352.0,292.0,60.0,1.0,17.0,217.0,44.0,173.0,1.0
508,GNB,1271968GNB,December 7,CLT,9.0,163.0,97.0,66.0,5.0,14.0,242.0,104.0,138.0,2.0
524,CHI,12151968CHI,December 15,GNB,14.0,291.0,157.0,134.0,3.0,12.0,316.0,251.0,65.0,1.0
552,GNB,9211969GNB,September 21,CHI,18.0,286.0,90.0,196.0,0.0,12.0,204.0,114.0,90.0,2.0
562,GNB,9281969GNB,September 28,SFO,17.0,269.0,134.0,135.0,3.0,17.0,376.0,264.0,112.0,1.0
578,MIN,1051969MIN,October 5,GNB,12.0,230.0,73.0,157.0,0.0,16.0,173.0,65.0,108.0,3.0
589,DET,10121969DET,October 12,GNB,15.0,227.0,82.0,145.0,4.0,23.0,308.0,187.0,121.0,1.0
