,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
7879,HTX,982002HTX,September 8,DAL,13.0,210.0,123.0,87.0,1.0,11.0,267.0,112.0,155.0,2.0
7898,SDG,9152002SDG,September 15,HTX,16.0,267.0,143.0,124.0,1.0,7.0,118.0,29.0,89.0,3.0
7908,HTX,9222002HTX,September 22,CLT,10.0,204.0,78.0,126.0,2.0,16.0,339.0,251.0,88.0,2.0
7925,PHI,9292002PHI,September 29,HTX,21.0,391.0,289.0,102.0,3.0,12.0,242.0,151.0,91.0,3.0
7948,HTX,10132002HTX,October 13,BUF,18.0,338.0,197.0,141.0,0.0,25.0,403.0,230.0,173.0,1.0
7962,CLE,10202002CLE,October 20,HTX,14.0,230.0,141.0,89.0,0.0,17.0,354.0,265.0,89.0,2.0
7978,JAX,10272002JAX,October 27,HTX,18.0,290.0,164.0,126.0,0.0,12.0,242.0,161.0,81.0,1.0
7993,HTX,1132002HTX,November 3,CIN,22.0,268.0,186.0,82.0,2.0,25.0,390.0,263.0,127.0,0.0
8013,OTI,11102002OTI,November 10,HTX,15.0,251.0,109.0,142.0,2.0,13.0,233.0,165.0,68.0,3.0
8018,HTX,11172002HTX,November 17,JAX,18.0,272.0,194.0,78.0,2.0,16.0,321.0,199.0,122.0,1.0
8037,HTX,11242002HTX,November 24,NYG,12.0,212.0,89.0,123.0,1.0,19.0,369.0,201.0,168.0,3.0
8053,CLT,1212002CLT,December 1,HTX,13.0,278.0,190.0,88.0,1.0,10.0,165.0,100.0,65.0,2.0
8072,PIT,1282002PIT,December 8,HTX,24.0,422.0,294.0,128.0,5.0,3.0,47.0,10.0,37.0,1.0
8086,HTX,12152002HTX,December 15,RAV,15.0,277.0,182.0,95.0,2.0,16.0,298.0,228.0,70.0,0.0
8109,WAS,12222002WAS,December 22,HTX,27.0,437.0,190.0,247.0,0.0,10.0,166.0,99.0,67.0,3.0
8118,HTX,12292002HTX,December 29,OTI,16.0,224.0,196.0,28.0,1.0,15.0,277.0,137.0,140.0,0.0
8147,MIA,972003MIA,September 7,HTX,14.0,301.0,215.0,86.0,3.0,16.0,393.0,266.0,127.0,0.0
8162,NOR,9142003NOR,September 14,HTX,12.0,292.0,182.0,110.0,0.0,16.0,258.0,183.0,75.0,2.0
8174,HTX,9212003HTX,September 21,KAN,20.0,316.0,209.0,107.0,4.0,27.0,426.0,258.0,168.0,2.0
8189,HTX,9282003HTX,September 28,JAX,21.0,339.0,229.0,110.0,4.0,15.0,342.0,263.0,79.0,5.0
8223,OTI,10122003OTI,October 12,HTX,22.0,535.0,421.0,114.0,1.0,24.0,458.0,367.0,91.0,3.0
8232,HTX,10192003HTX,October 19,NYJ,17.0,325.0,156.0,169.0,0.0,18.0,300.0,160.0,140.0,0.0
8244,CLT,10262003CLT,October 26,HTX,23.0,391.0,269.0,122.0,1.0,18.0,270.0,139.0,131.0,2.0
8260,HTX,1122003HTX,November 2,CAR,14.0,267.0,149.0,118.0,0.0,21.0,367.0,193.0,174.0,1.0
8269,CIN,1192003CIN,November 9,HTX,27.0,422.0,182.0,240.0,1.0,13.0,269.0,129.0,140.0,1.0
8282,BUF,11162003BUF,November 16,HTX,17.0,335.0,153.0,182.0,1.0,12.0,245.0,211.0,34.0,1.0
8306,HTX,11232003HTX,November 23,NWE,11.0,169.0,80.0,89.0,2.0,29.0,472.0,344.0,128.0,3.0
8319,HTX,11302003HTX,November 30,ATL,17.0,236.0,101.0,135.0,1.0,16.0,243.0,174.0,69.0,1.0
