,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
12,CRD,9111966CRD,September 11,PHI,20.0,278.0,158.0,120.0,1.0,18.0,254.0,121.0,133.0,0.0
22,PHI,9181966PHI,September 18,ATL,20.0,340.0,135.0,205.0,2.0,16.0,298.0,202.0,96.0,3.0
34,PHI,9251966PHI,September 25,NYG,18.0,271.0,161.0,110.0,0.0,19.0,386.0,236.0,150.0,1.0
44,PHI,1021966PHI,October 2,CRD,17.0,230.0,168.0,62.0,5.0,8.0,147.0,63.0,84.0,1.0
52,DAL,1091966DAL,October 9,PHI,32.0,652.0,440.0,212.0,0.0,11.0,217.0,179.0,38.0,1.0
67,PIT,10161966PIT,October 16,PHI,14.0,178.0,91.0,87.0,3.0,22.0,281.0,93.0,188.0,3.0
76,NYG,10231966NYG,October 23,PHI,13.0,228.0,152.0,76.0,5.0,18.0,316.0,114.0,202.0,3.0
88,PHI,10301966PHI,October 30,WAS,14.0,257.0,152.0,105.0,2.0,17.0,260.0,159.0,101.0,3.0
99,PHI,1161966PHI,November 6,DAL,5.0,80.0,22.0,58.0,3.0,16.0,240.0,128.0,112.0,2.0
106,CLE,11131966CLE,November 13,PHI,17.0,345.0,176.0,169.0,0.0,17.0,290.0,175.0,115.0,4.0
123,SFO,11201966SFO,November 20,PHI,24.0,404.0,238.0,166.0,5.0,15.0,289.0,169.0,120.0,5.0
145,PHI,1241966PHI,December 4,PIT,19.0,304.0,124.0,180.0,2.0,15.0,250.0,155.0,95.0,2.0
154,PHI,12111966PHI,December 11,CLE,17.0,320.0,117.0,203.0,5.0,21.0,349.0,231.0,118.0,3.0
167,WAS,12181966WAS,December 18,PHI,17.0,355.0,248.0,107.0,6.0,20.0,310.0,170.0,140.0,4.0
184,PHI,9171967PHI,September 17,WAS,18.0,426.0,276.0,150.0,2.0,21.0,388.0,304.0,84.0,1.0
195,PHI,9241967PHI,September 24,CLT,16.0,299.0,241.0,58.0,4.0,21.0,345.0,273.0,72.0,0.0
208,PHI,1011967PHI,October 1,PIT,17.0,319.0,271.0,48.0,1.0,19.0,318.0,165.0,153.0,3.0
213,ATL,1081967ATL,October 8,PHI,17.0,308.0,223.0,85.0,6.0,18.0,380.0,179.0,201.0,0.0
232,PHI,10151967PHI,October 15,SFO,15.0,244.0,201.0,43.0,0.0,24.0,386.0,216.0,170.0,0.0
246,CRD,10221967CRD,October 22,PHI,22.0,416.0,267.0,149.0,0.0,17.0,319.0,248.0,71.0,2.0
255,PHI,10291967PHI,October 29,DAL,23.0,341.0,165.0,176.0,6.0,13.0,306.0,192.0,114.0,5.0
267,NOR,1151967NOR,November 5,PHI,13.0,249.0,137.0,112.0,2.0,20.0,359.0,263.0,96.0,2.0
276,RAM,11121967RAM,November 12,PHI,23.0,394.0,233.0,161.0,4.0,11.0,257.0,215.0,42.0,5.0
294,PHI,11191967PHI,November 19,NOR,21.0,421.0,331.0,90.0,3.0,15.0,309.0,237.0,72.0,5.0
304,NYG,11261967NYG,November 26,PHI,26.0,444.0,268.0,176.0,0.0,15.0,172.0,134.0,38.0,4.0
318,WAS,1231967WAS,December 3,PHI,28.0,460.0,366.0,94.0,3.0,18.0,365.0,276.0,89.0,4.0
324,DAL,12101967DAL,December 10,PHI,22.0,325.0,158.0,167.0,4.0,12.0,102.0,79.0,23.0,5.0
341,PHI,12171967PHI,December 17,CLE,18.0,340.0,215.0,125.0,2.0,22.0,324.0,192.0,132.0,2.0
361,GNB,9151968GNB,September 15,PHI,18.0,378.0,193.0,185.0,1.0,15.0,278.0,187.0,91.0,1.0
377,PHI,9221968PHI,September 22,NYG,12.0,326.0,125.0,201.0,3.0,24.0,377.0,176.0,201.0,1.0
389,PHI,9291968PHI,September 29,DAL,14.0,263.0,223.0,40.0,7.0,21.0,418.0,281.0,137.0,2.0
404,WAS,1061968WAS,October 6,PHI,17.0,320.0,196.0,124.0,1.0,13.0,221.0,138.0,83.0,4.0
410,DAL,10131968DAL,October 13,PHI,27.0,414.0,263.0,151.0,1.0,11.0,164.0,72.0,92.0,5.0
427,PHI,10201968PHI,October 20,CHI,12.0,190.0,101.0,89.0,3.0,16.0,258.0,94.0,164.0,1.0
440,PIT,10271968PIT,October 27,PHI,13.0,249.0,126.0,123.0,1.0,15.0,287.0,171.0,116.0,2.0
454,PHI,1131968PHI,November 3,CRD,17.0,342.0,230.0,112.0,1.0,21.0,362.0,176.0,186.0,1.0
468,PHI,11101968PHI,November 10,WAS,13.0,276.0,207.0,69.0,2.0,17.0,267.0,92.0,175.0,2.0
478,NYG,11171968NYG,November 17,PHI,16.0,274.0,136.0,138.0,2.0,9.0,107.0,39.0,68.0,3.0
487,CLE,11241968CLE,November 24,PHI,22.0,438.0,237.0,201.0,0.0,21.0,342.0,285.0,57.0,6.0
496,DET,11281968DET,November 28,PHI,8.0,168.0,66.0,102.0,4.0,12.0,161.0,49.0,112.0,1.0
