,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
0,MIA,921966MIA,September 2,RAI,12.0,182.0,88.0,94.0,5.0,16.0,257.0,241.0,16.0,6.0
5,OTI,9101966OTI,September 10,RAI,20.0,269.0,197.0,72.0,3.0,23.0,272.0,199.0,73.0,7.0
21,RAI,9181966RAI,September 18,KAN,17.0,341.0,245.0,96.0,3.0,11.0,224.0,85.0,139.0,1.0
33,RAI,9251966RAI,September 25,SDG,18.0,262.0,153.0,109.0,4.0,12.0,276.0,143.0,133.0,2.0
54,RAI,1091966RAI,October 9,MIA,19.0,357.0,251.0,106.0,3.0,12.0,192.0,115.0,77.0,2.0
63,KAN,10161966KAN,October 16,RAI,15.0,209.0,133.0,76.0,3.0,14.0,371.0,288.0,83.0,2.0
77,NYJ,10231966NYJ,October 23,RAI,27.0,397.0,260.0,137.0,3.0,17.0,334.0,205.0,129.0,2.0
81,NWE,10301966NWE,October 30,RAI,16.0,339.0,58.0,281.0,4.0,14.0,243.0,200.0,43.0,2.0
98,RAI,1161966RAI,November 6,OTI,14.0,390.0,249.0,141.0,3.0,8.0,246.0,126.0,120.0,3.0
111,SDG,11131966SDG,November 13,RAI,16.0,318.0,167.0,151.0,2.0,20.0,477.0,258.0,219.0,0.0
114,DEN,11201966DEN,November 20,RAI,10.0,102.0,31.0,71.0,3.0,8.0,160.0,94.0,66.0,0.0
126,RAI,11241966RAI,November 24,BUF,11.0,315.0,257.0,58.0,4.0,25.0,465.0,239.0,226.0,2.0
135,RAI,1231966RAI,December 3,NYJ,17.0,415.0,261.0,154.0,1.0,16.0,489.0,316.0,173.0,5.0
153,RAI,12111966RAI,December 11,DEN,18.0,377.0,243.0,134.0,1.0,11.0,202.0,160.0,42.0,2.0
175,RAI,9101967RAI,September 10,DEN,19.0,388.0,180.0,208.0,1.0,3.0,-5.0,-53.0,48.0,2.0
183,RAI,9171967RAI,September 17,NWE,13.0,367.0,235.0,132.0,1.0,15.0,256.0,191.0,65.0,5.0
207,RAI,1011967RAI,October 1,KAN,16.0,306.0,206.0,100.0,2.0,12.0,243.0,150.0,93.0,3.0
212,NYJ,1071967NYJ,October 7,RAI,15.0,297.0,146.0,151.0,3.0,10.0,210.0,155.0,55.0,4.0
226,BUF,10151967BUF,October 15,RAI,10.0,158.0,120.0,38.0,2.0,13.0,223.0,79.0,144.0,5.0
235,NWE,10221967NWE,October 22,RAI,11.0,83.0,40.0,43.0,4.0,23.0,395.0,261.0,134.0,3.0
254,RAI,10291967RAI,October 29,SDG,18.0,437.0,310.0,127.0,2.0,16.0,341.0,287.0,54.0,5.0
263,DEN,1151967DEN,November 5,RAI,7.0,119.0,52.0,67.0,1.0,15.0,327.0,195.0,132.0,2.0
293,RAI,11191967RAI,November 19,MIA,22.0,396.0,250.0,146.0,2.0,12.0,280.0,199.0,81.0,4.0
297,KAN,11231967KAN,November 23,RAI,13.0,192.0,136.0,56.0,4.0,26.0,459.0,303.0,156.0,2.0
315,SDG,1231967SDG,December 3,RAI,19.0,418.0,303.0,115.0,3.0,21.0,460.0,325.0,135.0,0.0
325,OTI,12101967OTI,December 10,RAI,14.0,238.0,120.0,118.0,2.0,23.0,421.0,254.0,167.0,2.0
340,RAI,12171967RAI,December 17,NYJ,17.0,455.0,336.0,119.0,4.0,23.0,464.0,356.0,108.0,3.0
346,RAI,12241967RAI,December 24,BUF,14.0,272.0,99.0,173.0,6.0,12.0,210.0,118.0,92.0,4.0
349,RAI,12311967RAI,December 31,OTI,18.0,364.0,101.0,263.0,0.0,11.0,146.0,108.0,38.0,3.0
350,GNB,1141968GNB,January 14,RAI,19.0,322.0,162.0,160.0,0.0,16.0,293.0,186.0,107.0,3.0
357,BUF,9151968BUF,September 15,RAI,14.0,191.0,-19.0,210.0,1.0,20.0,411.0,201.0,210.0,1.0
366,MIA,9211968MIA,September 21,RAI,22.0,349.0,312.0,37.0,5.0,25.0,542.0,329.0,213.0,1.0
385,OTI,9291968OTI,September 29,RAI,18.0,324.0,173.0,151.0,4.0,17.0,305.0,52.0,253.0,3.0
402,RAI,1061968RAI,October 6,NWE,28.0,451.0,254.0,197.0,2.0,13.0,146.0,98.0,48.0,2.0
415,RAI,10131968RAI,October 13,SDG,11.0,260.0,215.0,45.0,5.0,20.0,384.0,214.0,170.0,1.0
423,KAN,10201968KAN,October 20,RAI,19.0,310.0,16.0,294.0,0.0,10.0,222.0,169.0,53.0,2.0
439,RAI,10271968RAI,October 27,CIN,26.0,439.0,174.0,265.0,3.0,8.0,228.0,59.0,169.0,2.0
453,RAI,1131968RAI,November 3,KAN,25.0,539.0,469.0,70.0,3.0,14.0,327.0,229.0,98.0,3.0
464,DEN,11101968DEN,November 10,RAI,11.0,175.0,85.0,90.0,3.0,22.0,487.0,280.0,207.0,2.0
479,RAI,11171968RAI,November 17,NYJ,21.0,437.0,291.0,146.0,4.0,18.0,413.0,345.0,68.0,1.0
486,CIN,11241968CIN,November 24,RAI,7.0,148.0,32.0,116.0,3.0,33.0,604.0,396.0,208.0,1.0
498,RAI,11281968RAI,November 28,BUF,11.0,186.0,111.0,75.0,2.0,17.0,343.0,144.0,199.0,4.0
516,RAI,1281968RAI,December 8,DEN,24.0,497.0,338.0,159.0,6.0,16.0,267.0,204.0,63.0,5.0
531,SDG,12151968SDG,December 15,RAI,18.0,456.0,365.0,91.0,6.0,14.0,316.0,249.0,67.0,4.0
535,RAI,12221968RAI,December 22,KAN,22.0,454.0,336.0,118.0,0.0,13.0,312.0,242.0,70.0,4.0
537,NYJ,12291968NYJ,December 29,RAI,25.0,400.0,256.0,144.0,2.0,18.0,443.0,393.0,50.0,0.0
542,RAI,9141969RAI,September 14,OTI,17.0,285.0,148.0,137.0,3.0,17.0,278.0,176.0,102.0,3.0
544,RAI,9201969RAI,September 20,MIA,19.0,373.0,258.0,115.0,6.0,17.0,305.0,186.0,119.0,4.0
557,NWE,9281969NWE,September 28,RAI,10.0,170.0,118.0,52.0,3.0,21.0,423.0,213.0,210.0,1.0
570,MIA,1041969MIA,October 4,RAI,17.0,214.0,104.0,110.0,2.0,15.0,280.0,206.0,74.0,2.0
588,DEN,10121969DEN,October 12,RAI,18.0,234.0,113.0,121.0,2.0,20.0,323.0,244.0,79.0,0.0
604,RAI,10191969RAI,October 19,BUF,20.0,404.0,320.0,84.0,2.0,19.0,392.0,246.0,146.0,7.0
620,SDG,10261969SDG,October 26,RAI,20.0,253.0,182.0,71.0,4.0,19.0,399.0,228.0,171.0,3.0
626,CIN,1121969CIN,November 2,RAI,15.0,320.0,186.0,134.0,2.0,24.0,394.0,275.0,119.0,6.0
645,RAI,1191969RAI,November 9,DEN,20.0,359.0,270.0,89.0,0.0,21.0,302.0,177.0,125.0,1.0
656,RAI,11161969RAI,November 16,SDG,13.0,309.0,235.0,74.0,4.0,17.0,224.0,107.0,117.0,3.0
665,KAN,11231969KAN,November 23,RAI,26.0,436.0,238.0,198.0,7.0,15.0,262.0,142.0,120.0,0.0
684,NYJ,11301969NYJ,November 30,RAI,13.0,238.0,139.0,99.0,2.0,18.0,404.0,322.0,82.0,1.0
696,RAI,1271969RAI,December 7,CIN,26.0,544.0,235.0,309.0,3.0,10.0,210.0,108.0,102.0,2.0
701,RAI,12131969RAI,December 13,KAN,14.0,277.0,175.0,102.0,2.0,12.0,194.0,29.0,165.0,0.0
721,RAI,12211969RAI,December 21,OTI,17.0,412.0,302.0,110.0,4.0,14.0,197.0,169.0,28.0,5.0
726,RAI,141970RAI,January 4,KAN,18.0,233.0,154.0,79.0,4.0,13.0,207.0,121.0,86.0,4.0
732,CIN,9201970CIN,September 20,RAI,14.0,364.0,117.0,247.0,1.0,13.0,291.0,243.0,48.0,2.0
750,SDG,9271970SDG,September 27,RAI,17.0,344.0,211.0,133.0,3.0,23.0,405.0,267.0,138.0,0.0
755,MIA,1031970MIA,October 3,RAI,7.0,279.0,175.0,104.0,1.0,14.0,334.0,154.0,180.0,4.0
775,RAI,10111970RAI,October 11,DEN,25.0,522.0,348.0,174.0,1.0,13.0,285.0,140.0,145.0,1.0
792,RAI,10191970RAI,October 19,WAS,25.0,458.0,232.0,226.0,1.0,20.0,301.0,224.0,77.0,0.0
801,RAI,10251970RAI,October 25,PIT,15.0,346.0,184.0,162.0,2.0,24.0,266.0,138.0,128.0,5.0
813,KAN,1111970KAN,November 1,RAI,16.0,321.0,157.0,164.0,2.0,22.0,278.0,115.0,163.0,0.0
825,RAI,1181970RAI,November 8,CLE,21.0,294.0,134.0,160.0,2.0,12.0,240.0,110.0,130.0,3.0
835,DEN,11151970DEN,November 15,RAI,20.0,312.0,196.0,116.0,3.0,16.0,325.0,258.0,67.0,2.0
855,RAI,11221970RAI,November 22,SDG,22.0,396.0,213.0,183.0,1.0,20.0,331.0,155.0,176.0,2.0
859,DET,11261970DET,November 26,RAI,25.0,399.0,137.0,262.0,3.0,18.0,248.0,148.0,100.0,2.0
879,NYJ,1261970NYJ,December 6,RAI,12.0,257.0,99.0,158.0,2.0,16.0,250.0,179.0,71.0,3.0
885,RAI,12121970RAI,December 12,KAN,23.0,324.0,120.0,204.0,1.0,7.0,121.0,59.0,62.0,1.0
906,RAI,12201970RAI,December 20,SFO,17.0,358.0,270.0,88.0,9.0,16.0,296.0,171.0,125.0,0.0
913,RAI,12271970RAI,December 27,MIA,12.0,307.0,187.0,120.0,2.0,16.0,242.0,124.0,118.0,1.0
914,CLT,131971CLT,January 3,RAI,18.0,363.0,237.0,126.0,0.0,16.0,336.0,229.0,107.0,4.0
925,NWE,9191971NWE,September 19,RAI,12.0,261.0,127.0,134.0,3.0,20.0,304.0,99.0,205.0,4.0
941,SDG,9261971SDG,September 26,RAI,13.0,226.0,153.0,73.0,5.0,20.0,375.0,163.0,212.0,1.0
955,CLE,1041971CLE,October 4,RAI,20.0,334.0,178.0,156.0,3.0,20.0,328.0,160.0,168.0,2.0
961,DEN,10101971DEN,October 10,RAI,11.0,319.0,220.0,99.0,3.0,20.0,269.0,113.0,156.0,1.0
978,RAI,10171971RAI,October 17,PHI,20.0,412.0,236.0,176.0,2.0,11.0,226.0,164.0,62.0,3.0
990,RAI,10241971RAI,October 24,CIN,19.0,316.0,114.0,202.0,2.0,17.0,250.0,139.0,111.0,1.0
1002,RAI,10311971RAI,October 31,KAN,19.0,252.0,141.0,111.0,2.0,18.0,248.0,87.0,161.0,2.0
