,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
7,ATL,9111966ATL,September 11,RAM,10.0,237.0,116.0,121.0,2.0,23.0,421.0,275.0,146.0,2.0
14,RAM,9161966RAM,September 16,CHI,17.0,294.0,195.0,99.0,4.0,12.0,239.0,118.0,121.0,3.0
32,GNB,9251966GNB,September 25,RAM,14.0,327.0,233.0,94.0,5.0,12.0,173.0,67.0,106.0,2.0
36,RAM,9301966RAM,September 30,SFO,20.0,356.0,193.0,163.0,1.0,15.0,251.0,198.0,53.0,5.0
53,DET,1091966DET,October 9,RAM,14.0,283.0,194.0,89.0,6.0,21.0,369.0,203.0,166.0,3.0
65,MIN,10161966MIN,October 16,RAM,20.0,378.0,313.0,65.0,1.0,13.0,230.0,146.0,84.0,3.0
71,CHI,10231966CHI,October 23,RAM,15.0,287.0,135.0,152.0,2.0,14.0,203.0,95.0,108.0,2.0
85,RAM,10301966RAM,October 30,CLT,21.0,340.0,225.0,115.0,6.0,13.0,322.0,230.0,92.0,3.0
101,SFO,1161966SFO,November 6,RAM,21.0,358.0,277.0,81.0,2.0,11.0,142.0,116.0,26.0,1.0
108,RAM,11131966RAM,November 13,NYG,38.0,572.0,349.0,223.0,1.0,15.0,103.0,56.0,47.0,3.0
119,RAM,11201966RAM,November 20,MIN,15.0,228.0,130.0,98.0,1.0,10.0,186.0,43.0,143.0,4.0
127,CLT,11271966CLT,November 27,RAM,7.0,140.0,107.0,33.0,2.0,17.0,310.0,148.0,162.0,1.0
143,RAM,1241966RAM,December 4,DET,14.0,293.0,147.0,146.0,0.0,16.0,305.0,212.0,93.0,4.0
162,RAM,12181966RAM,December 18,GNB,19.0,351.0,251.0,100.0,2.0,14.0,355.0,237.0,118.0,4.0
182,NOR,9171967NOR,September 17,RAM,17.0,299.0,174.0,125.0,3.0,23.0,462.0,292.0,170.0,1.0
187,RAM,9221967RAM,September 22,MIN,16.0,237.0,121.0,116.0,2.0,13.0,224.0,176.0,48.0,6.0
201,DAL,1011967DAL,October 1,RAM,20.0,272.0,221.0,51.0,4.0,25.0,356.0,135.0,221.0,1.0
218,RAM,1081967RAM,October 8,SFO,16.0,253.0,128.0,125.0,6.0,14.0,335.0,269.0,66.0,3.0
224,CLT,10151967CLT,October 15,RAM,20.0,368.0,270.0,98.0,2.0,19.0,410.0,282.0,128.0,1.0
240,RAM,10221967RAM,October 22,WAS,24.0,438.0,249.0,189.0,1.0,17.0,354.0,305.0,49.0,0.0
248,CHI,10291967CHI,October 29,RAM,11.0,180.0,88.0,92.0,4.0,20.0,309.0,144.0,165.0,3.0
269,SFO,1151967SFO,November 5,RAM,14.0,257.0,158.0,99.0,3.0,9.0,152.0,47.0,105.0,0.0
276,RAM,11121967RAM,November 12,PHI,23.0,394.0,233.0,161.0,4.0,11.0,257.0,215.0,42.0,5.0
283,ATL,11191967ATL,November 19,RAM,13.0,238.0,140.0,98.0,5.0,15.0,405.0,284.0,121.0,2.0
296,DET,11231967DET,November 23,RAM,10.0,108.0,38.0,70.0,4.0,15.0,263.0,171.0,92.0,1.0
312,RAM,1231967RAM,December 3,ATL,21.0,309.0,169.0,140.0,3.0,10.0,154.0,75.0,79.0,2.0
320,RAM,1291967RAM,December 9,GNB,20.0,324.0,222.0,102.0,3.0,12.0,218.0,120.0,98.0,2.0
337,RAM,12171967RAM,December 17,CLT,16.0,328.0,257.0,71.0,1.0,18.0,262.0,158.0,104.0,2.0
343,GNB,12231967GNB,December 23,RAM,20.0,374.0,211.0,163.0,4.0,12.0,217.0,142.0,75.0,1.0
365,CRD,9161968CRD,September 16,RAM,18.0,244.0,169.0,75.0,3.0,15.0,238.0,84.0,154.0,1.0
375,RAM,9221968RAM,September 22,PIT,20.0,378.0,291.0,87.0,0.0,16.0,258.0,202.0,56.0,3.0
382,CLE,9291968CLE,September 29,RAM,6.0,129.0,63.0,66.0,3.0,22.0,364.0,176.0,188.0,2.0
399,RAM,1061968RAM,October 6,SFO,19.0,275.0,154.0,121.0,2.0,12.0,158.0,96.0,62.0,1.0
411,GNB,10131968GNB,October 13,RAM,15.0,197.0,113.0,84.0,5.0,11.0,190.0,97.0,93.0,1.0
424,RAM,10201968RAM,October 20,ATL,24.0,419.0,246.0,173.0,4.0,7.0,133.0,101.0,32.0,3.0
431,CLT,10271968CLT,October 27,RAM,17.0,364.0,205.0,159.0,4.0,12.0,148.0,78.0,70.0,4.0
448,RAM,1131968RAM,November 3,DET,9.0,286.0,185.0,101.0,2.0,15.0,216.0,144.0,72.0,3.0
457,ATL,11101968ATL,November 10,RAM,9.0,232.0,140.0,92.0,3.0,18.0,250.0,71.0,179.0,1.0
481,SFO,11171968SFO,November 17,RAM,18.0,338.0,171.0,167.0,4.0,22.0,399.0,270.0,129.0,3.0
490,RAM,11241968RAM,November 24,NYG,19.0,311.0,143.0,168.0,4.0,18.0,273.0,127.0,146.0,3.0
503,MIN,1211968MIN,December 1,RAM,9.0,127.0,47.0,80.0,5.0,19.0,324.0,123.0,201.0,2.0
512,RAM,1281968RAM,December 8,CHI,16.0,210.0,107.0,103.0,2.0,17.0,248.0,98.0,150.0,2.0
526,RAM,12151968RAM,December 15,CLT,19.0,312.0,147.0,165.0,1.0,13.0,208.0,144.0,64.0,2.0
546,CLT,9211969CLT,September 21,RAM,19.0,337.0,283.0,54.0,4.0,15.0,339.0,252.0,87.0,0.0
564,RAM,9281969RAM,September 28,ATL,16.0,269.0,162.0,107.0,2.0,13.0,178.0,22.0,156.0,3.0
577,RAM,1051969RAM,October 5,NOR,16.0,350.0,228.0,122.0,1.0,17.0,315.0,262.0,53.0,3.0
593,SFO,10121969SFO,October 12,RAM,19.0,317.0,241.0,76.0,3.0,19.0,269.0,177.0,92.0,0.0
602,RAM,10191969RAM,October 19,GNB,21.0,312.0,175.0,137.0,0.0,15.0,189.0,151.0,38.0,3.0
610,CHI,10261969CHI,October 26,RAM,14.0,159.0,5.0,154.0,2.0,14.0,236.0,110.0,126.0,2.0
622,ATL,1121969ATL,November 2,RAM,15.0,279.0,172.0,107.0,5.0,17.0,430.0,296.0,134.0,2.0
642,RAM,1191969RAM,November 9,SFO,15.0,406.0,310.0,96.0,0.0,21.0,399.0,338.0,61.0,2.0
657,PHI,11161969PHI,November 16,RAM,15.0,328.0,175.0,153.0,4.0,13.0,237.0,134.0,103.0,2.0
666,RAM,11231969RAM,November 23,DAL,16.0,290.0,202.0,88.0,2.0,20.0,352.0,222.0,130.0,4.0
686,WAS,11301969WAS,November 30,RAM,20.0,226.0,154.0,72.0,2.0,18.0,294.0,128.0,166.0,1.0
693,RAM,1271969RAM,December 7,MIN,15.0,247.0,186.0,61.0,1.0,15.0,246.0,69.0,177.0,0.0
704,DET,12141969DET,December 14,RAM,16.0,332.0,183.0,149.0,1.0,4.0,96.0,55.0,41.0,3.0
718,RAM,12211969RAM,December 21,CLT,10.0,159.0,106.0,53.0,2.0,23.0,344.0,249.0,95.0,2.0
723,MIN,12271969MIN,December 27,RAM,18.0,275.0,178.0,97.0,3.0,19.0,255.0,129.0,126.0,1.0
