,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
2,SDG,941966SDG,September 4,BUF,15.0,290.0,153.0,137.0,0.0,15.0,267.0,150.0,117.0,3.0
6,SDG,9101966SDG,September 10,NWE,12.0,279.0,141.0,138.0,0.0,15.0,252.0,122.0,130.0,4.0
33,RAI,9251966RAI,September 25,SDG,18.0,262.0,153.0,109.0,4.0,12.0,276.0,143.0,133.0,2.0
45,SDG,1021966SDG,October 2,MIA,14.0,361.0,321.0,40.0,2.0,16.0,276.0,89.0,187.0,2.0
50,NYJ,1081966NYJ,October 8,SDG,12.0,248.0,129.0,119.0,3.0,23.0,445.0,350.0,95.0,1.0
60,BUF,10161966BUF,October 16,SDG,22.0,320.0,107.0,213.0,2.0,12.0,219.0,169.0,50.0,0.0
70,NWE,10231966NWE,October 23,SDG,22.0,414.0,242.0,172.0,4.0,16.0,329.0,289.0,40.0,3.0
89,SDG,10301966SDG,October 30,DEN,21.0,334.0,180.0,154.0,2.0,15.0,280.0,155.0,125.0,0.0
95,KAN,1161966KAN,November 6,SDG,24.0,302.0,143.0,159.0,2.0,14.0,287.0,203.0,84.0,2.0
111,SDG,11131966SDG,November 13,RAI,16.0,318.0,167.0,151.0,2.0,20.0,477.0,258.0,219.0,0.0
129,DEN,11271966DEN,November 27,SDG,16.0,343.0,173.0,170.0,3.0,16.0,286.0,200.0,86.0,2.0
142,OTI,1241966OTI,December 4,SDG,23.0,395.0,152.0,243.0,2.0,15.0,378.0,302.0,76.0,3.0
155,SDG,12111966SDG,December 11,NYJ,25.0,425.0,203.0,222.0,1.0,20.0,335.0,189.0,146.0,4.0
165,SDG,12181966SDG,December 18,KAN,19.0,326.0,195.0,131.0,2.0,22.0,387.0,93.0,294.0,2.0
173,SDG,991967SDG,September 9,NWE,14.0,330.0,268.0,62.0,2.0,17.0,322.0,194.0,128.0,4.0
197,SDG,9241967SDG,September 24,OTI,17.0,325.0,206.0,119.0,1.0,13.0,166.0,90.0,76.0,2.0
200,BUF,1011967BUF,October 1,SDG,12.0,247.0,193.0,54.0,3.0,26.0,484.0,282.0,202.0,0.0
221,SDG,1081967SDG,October 8,NWE,17.0,285.0,224.0,61.0,1.0,21.0,387.0,264.0,123.0,1.0
