,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
1873,SEA,9121976SEA,September 12,CRD,17.0,352.0,279.0,73.0,3.0,25.0,456.0,175.0,281.0,2.0
1888,WAS,9191976WAS,September 19,SEA,28.0,428.0,155.0,273.0,3.0,11.0,205.0,103.0,102.0,3.0
1901,SEA,9261976SEA,September 26,SFO,29.0,421.0,291.0,130.0,3.0,19.0,381.0,239.0,142.0,1.0
1915,SEA,1031976SEA,October 3,DAL,19.0,243.0,140.0,103.0,1.0,25.0,411.0,200.0,211.0,1.0
1922,GNB,10101976GNB,October 10,SEA,24.0,380.0,193.0,187.0,3.0,17.0,227.0,169.0,58.0,2.0
1943,TAM,10171976TAM,October 17,SEA,18.0,285.0,140.0,145.0,1.0,14.0,253.0,163.0,90.0,2.0
1957,SEA,10241976SEA,October 24,DET,20.0,339.0,242.0,97.0,8.0,22.0,369.0,217.0,152.0,1.0
1965,RAM,10311976RAM,October 31,SEA,25.0,429.0,223.0,206.0,1.0,9.0,194.0,144.0,50.0,2.0
1986,SEA,1171976SEA,November 7,ATL,19.0,349.0,153.0,196.0,4.0,12.0,238.0,90.0,148.0,6.0
1994,MIN,11141976MIN,November 14,SEA,29.0,424.0,244.0,180.0,0.0,15.0,386.0,278.0,108.0,4.0
2012,SEA,11211976SEA,November 21,NOR,18.0,269.0,164.0,105.0,5.0,28.0,399.0,141.0,258.0,2.0
2025,NYG,11281976NYG,November 28,SEA,20.0,279.0,115.0,164.0,4.0,15.0,244.0,116.0,128.0,3.0
2042,SEA,1251976SEA,December 5,CHI,16.0,286.0,181.0,105.0,5.0,23.0,509.0,250.0,259.0,1.0
2056,PHI,12121976PHI,December 12,SEA,25.0,412.0,142.0,270.0,0.0,20.0,297.0,226.0,71.0,3.0
2077,SEA,9181977SEA,September 18,CLT,16.0,255.0,151.0,104.0,4.0,23.0,426.0,220.0,206.0,1.0
2080,CIN,9251977CIN,September 25,SEA,27.0,424.0,225.0,199.0,1.0,15.0,282.0,172.0,110.0,3.0
2104,SEA,1021977SEA,October 2,DEN,19.0,272.0,191.0,81.0,3.0,19.0,330.0,177.0,153.0,2.0
2114,NWE,1091977NWE,October 9,SEA,19.0,333.0,137.0,196.0,3.0,6.0,145.0,50.0,95.0,5.0
2133,SEA,10161977SEA,October 16,TAM,21.0,375.0,241.0,134.0,2.0,22.0,384.0,217.0,167.0,6.0
2138,MIA,10231977MIA,October 23,SEA,19.0,222.0,86.0,136.0,1.0,14.0,222.0,143.0,79.0,3.0
2160,SEA,10301977SEA,October 30,BUF,30.0,559.0,333.0,226.0,3.0,17.0,336.0,221.0,115.0,3.0
2174,RAI,1161977RAI,November 6,SEA,29.0,397.0,149.0,248.0,0.0,13.0,177.0,51.0,126.0,4.0
2184,NYJ,11131977NYJ,November 13,SEA,8.0,124.0,25.0,99.0,3.0,26.0,445.0,213.0,232.0,1.0
2202,SEA,11201977SEA,November 20,OTI,12.0,129.0,27.0,102.0,4.0,25.0,432.0,237.0,195.0,3.0
2215,SEA,11271977SEA,November 27,SDG,20.0,390.0,281.0,109.0,3.0,21.0,323.0,192.0,131.0,1.0
2229,PIT,1241977PIT,December 4,SEA,22.0,393.0,157.0,236.0,2.0,17.0,376.0,210.0,166.0,4.0
2239,KAN,12111977KAN,December 11,SEA,21.0,334.0,189.0,145.0,5.0,21.0,342.0,133.0,209.0,5.0
2259,SEA,12181977SEA,December 18,CLE,21.0,323.0,132.0,191.0,2.0,23.0,360.0,101.0,259.0,5.0
2280,SEA,931978SEA,September 3,SDG,22.0,446.0,308.0,138.0,2.0,16.0,275.0,186.0,89.0,2.0
2290,PIT,9101978PIT,September 10,SEA,26.0,336.0,185.0,151.0,1.0,18.0,247.0,154.0,93.0,3.0
2307,NYJ,9171978NYJ,September 17,SEA,17.0,378.0,201.0,177.0,3.0,28.0,334.0,181.0,153.0,2.0
2320,SEA,9241978SEA,September 24,DET,21.0,245.0,158.0,87.0,1.0,15.0,261.0,129.0,132.0,0.0
2329,DEN,1011978DEN,October 1,SEA,24.0,373.0,169.0,204.0,3.0,19.0,323.0,231.0,92.0,5.0
2349,SEA,1081978SEA,October 8,MIN,23.0,432.0,248.0,184.0,2.0,28.0,391.0,274.0,117.0,1.0
2356,GNB,10151978GNB,October 15,SEA,20.0,369.0,179.0,190.0,3.0,23.0,483.0,289.0,194.0,7.0
2377,SEA,10221978SEA,October 22,RAI,27.0,374.0,170.0,204.0,1.0,18.0,247.0,177.0,70.0,4.0
2391,SEA,10291978SEA,October 29,DEN,19.0,258.0,140.0,118.0,5.0,25.0,423.0,145.0,278.0,3.0
2396,CHI,1151978CHI,November 5,SEA,26.0,401.0,227.0,174.0,3.0,23.0,389.0,165.0,224.0,1.0
2419,SEA,11121978SEA,November 12,CLT,18.0,263.0,95.0,168.0,3.0,14.0,248.0,115.0,133.0,1.0
2426,KAN,11191978KAN,November 19,SEA,20.0,355.0,231.0,124.0,4.0,13.0,257.0,125.0,132.0,0.0
2447,RAI,11261978RAI,November 26,SEA,20.0,331.0,198.0,133.0,1.0,20.0,347.0,263.0,84.0,2.0
2459,SEA,1231978SEA,December 3,CLE,28.0,418.0,235.0,183.0,2.0,24.0,452.0,259.0,193.0,6.0
2475,SDG,12101978SDG,December 10,SEA,20.0,381.0,286.0,95.0,1.0,17.0,239.0,103.0,136.0,3.0
2488,SEA,12171978SEA,December 17,KAN,26.0,456.0,252.0,204.0,2.0,18.0,297.0,44.0,253.0,3.0
2511,SEA,921979SEA,September 2,SDG,19.0,334.0,153.0,181.0,6.0,22.0,356.0,217.0,139.0,1.0
2522,MIA,991979MIA,September 9,SEA,15.0,315.0,198.0,117.0,2.0,19.0,345.0,226.0,119.0,4.0
2540,SEA,9161979SEA,September 16,RAI,19.0,419.0,316.0,103.0,0.0,25.0,431.0,329.0,102.0,4.0
