,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
13,WAS,9111966WAS,September 11,CLE,17.0,315.0,212.0,103.0,6.0,18.0,307.0,159.0,148.0,3.0
24,CRD,9181966CRD,September 18,WAS,21.0,382.0,237.0,145.0,2.0,14.0,217.0,190.0,27.0,3.0
35,PIT,9251966PIT,September 25,WAS,15.0,278.0,206.0,72.0,6.0,17.0,320.0,228.0,92.0,2.0
46,WAS,1021966WAS,October 2,PIT,11.0,333.0,249.0,84.0,0.0,16.0,249.0,180.0,69.0,4.0
57,WAS,1091966WAS,October 9,ATL,26.0,432.0,286.0,146.0,0.0,19.0,268.0,146.0,122.0,2.0
66,NYG,10161966NYG,October 16,WAS,17.0,325.0,228.0,97.0,1.0,9.0,188.0,107.0,81.0,2.0
79,WAS,10231966WAS,October 23,CRD,15.0,291.0,235.0,56.0,1.0,17.0,251.0,87.0,164.0,5.0
88,PHI,10301966PHI,October 30,WAS,14.0,257.0,152.0,105.0,2.0,17.0,260.0,159.0,101.0,3.0
91,CLT,1161966CLT,November 6,WAS,28.0,520.0,394.0,126.0,2.0,14.0,272.0,196.0,76.0,4.0
112,WAS,11131966WAS,November 13,DAL,19.0,341.0,318.0,23.0,0.0,24.0,515.0,383.0,132.0,3.0
113,CLE,11201966CLE,November 20,WAS,10.0,271.0,112.0,159.0,2.0,20.0,327.0,159.0,168.0,4.0
134,WAS,11271966WAS,November 27,NYG,16.0,341.0,132.0,209.0,2.0,25.0,389.0,278.0,111.0,6.0
148,DAL,12111966DAL,December 11,WAS,17.0,370.0,129.0,241.0,1.0,13.0,399.0,295.0,104.0,2.0
167,WAS,12181966WAS,December 18,PHI,17.0,355.0,248.0,107.0,6.0,20.0,310.0,170.0,140.0,4.0
184,PHI,9171967PHI,September 17,WAS,18.0,426.0,276.0,150.0,2.0,21.0,388.0,304.0,84.0,1.0
194,NOR,9241967NOR,September 24,WAS,13.0,290.0,209.0,81.0,0.0,17.0,369.0,211.0,158.0,1.0
210,WAS,1011967WAS,October 1,NYG,23.0,405.0,276.0,129.0,2.0,20.0,520.0,294.0,226.0,3.0
222,WAS,1081967WAS,October 8,DAL,14.0,253.0,237.0,16.0,3.0,18.0,320.0,205.0,115.0,2.0
223,ATL,10151967ATL,October 15,WAS,15.0,323.0,215.0,108.0,2.0,23.0,415.0,334.0,81.0,3.0
240,RAM,10221967RAM,October 22,WAS,24.0,438.0,249.0,189.0,1.0,17.0,354.0,305.0,49.0,0.0
257,WAS,10291967WAS,October 29,CLT,19.0,322.0,226.0,96.0,3.0,21.0,351.0,236.0,115.0,2.0
270,WAS,1151967WAS,November 5,CRD,9.0,219.0,117.0,102.0,3.0,22.0,414.0,236.0,178.0,2.0
282,WAS,11121967WAS,November 12,SFO,30.0,420.0,288.0,132.0,3.0,24.0,294.0,170.0,124.0,3.0
289,DAL,11191967DAL,November 19,WAS,27.0,446.0,342.0,104.0,5.0,16.0,314.0,265.0,49.0,2.0
300,CLE,11261967CLE,November 26,WAS,19.0,424.0,221.0,203.0,1.0,33.0,481.0,373.0,108.0,1.0
318,WAS,1231967WAS,December 3,PHI,28.0,460.0,366.0,94.0,3.0,18.0,365.0,276.0,89.0,4.0
329,PIT,12101967PIT,December 10,WAS,20.0,280.0,226.0,54.0,5.0,11.0,246.0,155.0,91.0,3.0
342,WAS,12171967WAS,December 17,NOR,19.0,331.0,273.0,58.0,3.0,15.0,364.0,248.0,116.0,2.0
358,CHI,9151968CHI,September 15,WAS,18.0,316.0,151.0,165.0,3.0,18.0,337.0,263.0,74.0,1.0
376,NOR,9221968NOR,September 22,WAS,17.0,366.0,183.0,183.0,3.0,12.0,228.0,147.0,81.0,3.0
388,NYG,9291968NYG,September 29,WAS,20.0,377.0,226.0,151.0,1.0,23.0,376.0,277.0,99.0,5.0
404,WAS,1061968WAS,October 6,PHI,17.0,320.0,196.0,124.0,1.0,13.0,221.0,138.0,83.0,4.0
417,WAS,10131968WAS,October 13,PIT,19.0,294.0,178.0,116.0,2.0,17.0,287.0,104.0,183.0,3.0
430,CRD,10201968CRD,October 20,WAS,24.0,321.0,148.0,173.0,1.0,21.0,313.0,257.0,56.0,2.0
442,WAS,10271968WAS,October 27,NYG,9.0,142.0,73.0,69.0,2.0,22.0,297.0,124.0,173.0,2.0
449,MIN,1131968MIN,November 3,WAS,15.0,317.0,102.0,215.0,3.0,9.0,133.0,92.0,41.0,4.0
468,PHI,11101968PHI,November 10,WAS,13.0,276.0,207.0,69.0,2.0,17.0,267.0,92.0,175.0,2.0
482,WAS,11171968WAS,November 17,DAL,13.0,289.0,207.0,82.0,2.0,24.0,515.0,295.0,220.0,2.0
494,WAS,11241968WAS,November 24,GNB,13.0,167.0,134.0,33.0,3.0,23.0,388.0,230.0,158.0,3.0
495,DAL,11281968DAL,November 28,WAS,17.0,285.0,138.0,147.0,1.0,18.0,248.0,220.0,28.0,5.0
520,WAS,1281968WAS,December 8,CLE,21.0,326.0,212.0,114.0,3.0,15.0,354.0,205.0,149.0,3.0
532,WAS,12151968WAS,December 15,DET,13.0,208.0,136.0,72.0,2.0,21.0,368.0,238.0,130.0,4.0
553,NOR,9211969NOR,September 21,WAS,20.0,328.0,111.0,217.0,1.0,12.0,303.0,229.0,74.0,1.0
560,CLE,9281969CLE,September 28,WAS,22.0,339.0,140.0,199.0,2.0,15.0,275.0,98.0,177.0,0.0
582,SFO,1051969SFO,October 5,WAS,19.0,271.0,144.0,127.0,1.0,20.0,304.0,250.0,54.0,2.0
594,WAS,10121969WAS,October 12,CRD,23.0,377.0,222.0,155.0,2.0,14.0,226.0,127.0,99.0,5.0
607,WAS,10191969WAS,October 19,NYG,16.0,280.0,108.0,172.0,2.0,20.0,318.0,139.0,179.0,1.0
619,PIT,10261969PIT,October 26,WAS,17.0,301.0,130.0,171.0,2.0,14.0,214.0,117.0,97.0,3.0
623,CLT,1121969CLT,November 2,WAS,23.0,359.0,172.0,187.0,2.0,21.0,357.0,312.0,45.0,4.0
647,WAS,1191969WAS,November 9,PHI,18.0,339.0,222.0,117.0,1.0,25.0,372.0,199.0,173.0,3.0
660,WAS,11161969WAS,November 16,DAL,19.0,377.0,320.0,57.0,4.0,23.0,365.0,147.0,218.0,1.0
673,WAS,11231969WAS,November 23,ATL,24.0,411.0,263.0,148.0,2.0,17.0,251.0,118.0,133.0,1.0
686,WAS,11301969WAS,November 30,RAM,20.0,226.0,154.0,72.0,2.0,18.0,294.0,128.0,166.0,1.0
697,PHI,1271969PHI,December 7,WAS,19.0,383.0,265.0,118.0,2.0,20.0,331.0,159.0,172.0,2.0
712,WAS,12141969WAS,December 14,NOR,15.0,248.0,157.0,91.0,0.0,20.0,336.0,162.0,174.0,3.0
716,DAL,12211969DAL,December 21,WAS,20.0,333.0,195.0,138.0,1.0,19.0,274.0,173.0,101.0,1.0
739,SFO,9201970SFO,September 20,WAS,21.0,324.0,174.0,150.0,1.0,13.0,209.0,85.0,124.0,2.0
752,CRD,9271970CRD,September 27,WAS,22.0,297.0,123.0,174.0,3.0,20.0,254.0,107.0,147.0,3.0
